"index","articleType"
"article",0
"article-magazine",1
"article-newspaper",2
"article-journal",3
"bill",4
"book",5
"broadcast",6
"chapter",7
"dataset",8
"entry",9
"entry-dictionary",10
"entry-encyclopedia",11
"figure",12
"graphic",13
"interview",14
"legislation",15
"legal_case",16
"manuscript",17
"map",18
"motion_picture",19
"musical_score",20
"pamphlet",21
"paper-conference",22
"patent",23
"post",24
"post-weblog",25
"personal_communication",26
"report",27
"review",28
"review-book",29
"song",30
"speech",31
"thesis",32
"treaty",33
"webpage",34
"proceedings-article",35
